Organism Name, Gene Length, Length of First Coded Exon to Last Coded Exon
Homo sapiens (human),58438.36095365843,40477.48340617022
Mus musculus (house mouse),45225.67346091577,33734.96658225746
Rattus norvegicus (Norway rat),45505.32962899641,37130.577021713114
Loxodonta africana (African savanna elephant),51439.89341678039,44402.91430991483
Rattus norvegicus (Norway rat),41344.29250707311,35974.079857625264
Canis lupus familiaris (dog),52329.743009786296,41667.471190333534
Monodelphis domestica (gray short-tailed opossum),66478.70931281759,55349.89632901173
Sus scrofa (pig),55869.27871060861,43552.52547510224
Oryctolagus cuniculus (rabbit),50313.944916081186,43180.96452966432
Ailuropoda melanoleuca (giant panda),45615.35093836529,38942.748128397085
